Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Zoothera_monticola,Turdidae,Passeriformes,Zoothera monticola,42,28.8,5.9,9.1,33,135.2,33,102.2,24.4,85.2,126,Forest,1,1,Carnivore,Invertivore,Terrestrial,14.06,32.26,26.9,88.92,323451.38,Extant
Zoothera_naevia,Turdidae,Passeriformes,Zoothera naevia,23.7,15,4.5,6.1,31.1,121.6,40.3,80.4,33.4,85.2,77.5,Forest,1,3,Omnivore,Omnivore,Generalist,39.44,69.51,59.59,-135.72,3316865.29,Extant
Zoothera_oberlaenderi,Turdidae,Passeriformes,Zoothera oberlaenderi,19.9,10.7,4,5.2,26.9,96.5,22.6,73.9,23.4,62,43.4,Forest,1,1,Carnivore,Invertivore,Terrestrial,-3.95,2.9,0.89,29.45,52465.93,Extant
Zoothera_peronii,Turdidae,Passeriformes,Zoothera peronii,22.2,14.3,5,6.4,32.9,104.6,28.5,75.7,27.4,77.9,39.9,Forest,1,1,Carnivore,Invertivore,Generalist,-11,-7.07,-9.16,125.23,32498.43,Extant
Zoothera_piaggiae,Turdidae,Passeriformes,Zoothera piaggiae,23.2,12.4,4.8,5.9,33,102.7,20.8,81.8,20.2,83.2,51.1,Forest,1,1,Omnivore,Omnivore,Generalist,NA,NA,NA,NA,NA,Extant
Zoothera_pinicola,Turdidae,Passeriformes,Zoothera pinicola,24.3,13.8,5,6.1,26.3,130.2,47.6,82.2,36.7,90,88,Forest,1,1,Omnivore,Invertivore,Insessorial,15.88,29.52,22.24,-103.47,335794.57,Extant
Zoothera_princei,Turdidae,Passeriformes,Zoothera princei,20.3,12.5,5.7,6.9,33.5,106.5,26,80.5,24.4,75.5,65.4,Forest,1,1,Carnivore,Invertivore,Terrestrial,0.34,9.56,5.09,4.12,453480.78,Extant
Zoothera_schistacea,Turdidae,Passeriformes,Zoothera schistacea,21.9,13.5,5.4,6,27.2,98.5,23,75.5,23.4,69,49.5,Forest,1,1,Carnivore,Invertivore,Terrestrial,-8.06,-6.98,-7.55,131.44,3508.65,Extant
Zoothera_sibirica,Turdidae,Passeriformes,Zoothera sibirica,22.4,13.2,5,5.8,28.5,119,42.7,76.1,35.9,87.8,75.5,Forest,1,3,Omnivore,Invertivore,Terrestrial,34.86,68.81,58.04,118.51,7499143.62,Extant
Zoothera_spiloptera,Turdidae,Passeriformes,Zoothera spiloptera,22.5,14.8,4.9,6.9,33.7,96.6,19.7,77,20.4,76.8,70,Forest,1,1,Carnivore,Invertivore,Terrestrial,6.23,7.97,7.04,80.74,11408.73,Extant
Zoothera_talaseae,Turdidae,Passeriformes,Zoothera talaseae,23.7,13.9,4.7,6.4,28.8,103.5,24.7,78.8,23.9,71,81.9,Forest,1,2,Carnivore,Invertivore,Generalist,-6.59,-5.49,-5.94,152.41,5275.67,Extant
Zoothera_tanganjicae,Turdidae,Passeriformes,Zoothera tanganjicae,20.3,12,5.1,6.5,33.9,103,13.9,89.1,13.5,78,51.1,Forest,1,1,Omnivore,Omnivore,Generalist,NA,NA,NA,NA,NA,Extant
Zoothera_turipavae,Turdidae,Passeriformes,Zoothera turipavae,22,12.6,5,5.8,36,89.5,13.5,75.5,15.2,64.8,65.3,Forest,1,1,Carnivore,Invertivore,Terrestrial,-9.83,-9.63,-9.71,160.09,96.46,Extant
Zoothera_wardii,Turdidae,Passeriformes,Zoothera wardii,24.7,15.5,5,5.6,27.2,113.6,37.5,74.2,33.7,77,58.6,Forest,2,3,Omnivore,Invertivore,Generalist,26.86,32.18,29.14,81.9,96522.48,Extant
