"","x"
"337","Sporophila schistacea"
"338","Prinia burnesii"
"339","Euplectes ardens"
"340","Malacocincla malaccensis"
"341","Serinus leucopygius"
"342","Tadorna tadorna"
"343","Laniarius barbarus"
"344","Cettia brunnescens"
"345","Sturnus sturninus"
"346","Turdoides gymnogenys"
"347","Phyllastrephus cabanisi"
"348","Atlapetes pileatus"
"349","Thalassoica antarctica"
"350","Chalcophaps indica"
"351","Bonasa umbellus"
"352","Caprimulgus vociferus"
"353","Estrilda melanotis"
"354","Agapornis swindernianus"
"355","Bradypterus thoracicus"
"356","Lugensa brevirostris"
"357","Pterodroma hasitata"
"358","Turdoides striata"
"359","Phoebastria irrorata"
"360","Turdus naumanni"
"361","Melozone biarcuata"
"362","Cossypha niveicapilla"
"363","Pterodroma madeira"
"364","Dolichonyx oryzivorus"
"365","Aimophila mystacalis"
"366","Zenaida graysoni"
"367","Pterodroma atrata"
"368","Turdus rubrocanus"
"369","Pomatorhinus schisticeps"
"370","Curaeus forbesi"
"371","Sporophila telasco"
"372","Passerina caerulea"
"373","Emberiza pusilla"
"374","Euthlypis lachrymosa"
"375","Serinus syriacus"
"376","Catharus aurantiirostris"
"377","Garrulax peninsulae"
"378","Cyanopica cyanus"
"379","Pterodroma cahow"
"380","Acanthiza iredalei"
"381","Tyto sororcula"
"382","Pteronetta hartlaubii"
"383","Toxostoma redivivum"
"384","Grandala coelicolor"
"385","Pooecetes gramineus"
"386","Epthianura crocea"
"387","Zoothera talaseae"
"388","Lonchura molucca"
"389","Garrulax melanostigma"
"390","Cisticola anonymus"
"391","Turdoides fulva"
"392","Aimophila ruficeps"
"393","Arremonops chloronotus"
"394","Aimophila notosticta"
"395","Cinclidium diana"
"396","Copsychus cebuensis"
"397","Carpodacus nipalensis"
"398","Pipilo maculatus"
"399","Turdus maranonicus"
"400","Scytalopus spillmanni"
"401","Halobaena caerulea"
"402","Cettia carolinae"
"403","Prinia crinigera"
"404","Merops superciliosus"
"405","Erithacus rubecula"
"406","Haliaeetus leucocephalus"
"407","Buteo rufofuscus"
"408","Schistocichla leucostigma"
"409","Puffinus nativitatis"
"410","Hypositta perdita"
"411","Turdus olivaceus"
"412","Puffinus auricularis"
"413","Lessonia oreas"
"414","Pellorneum palustre"
"415","Turdus pilaris"
"416","Serinus alario"
"417","Pomatostomus isidorei"
"418","Anas hottentota"
"419","Melospiza georgiana"
"420","Prinia familiaris"
"421","Polihierax insignis"
"422","Arremon brunneinucha"
"423","Pipilo ocai"
"424","Epthianura albifrons"
"425","Anas wyvilliana"
"426","Myrmeciza laemosticta"
"427","Ammodramus caudacutus"
"428","Atlapetes forbesi"
"429","Mimus polyglottos"
"430","Accipiter melanoleucus"
"431","Campylorhynchus gularis"
"432","Estrilda troglodytes"
"433","Junco phaeonotus"
"434","Puffinus puffinus"
"435","Epthianura aurifrons"
"436","Falco cenchroides"
"437","Carduelis uropygialis"
"438","Megalurus palustris"
"439","Aix galericulata"
"440","Cinnycerthia peruana"
"441","Serinus hypostictus"
"442","Buteo rufinus"
"443","Spreo bicolor"
"444","Lonchura punctulata"
"445","Cisticola natalensis"
"446","Lonchura leucogastra"
"447","Bradypterus alishanensis"
"448","Turdus haplochrous"
"449","Lamprotornis chalcurus"
"450","Lonchura tristissima"
"451","Larus argentatus"
"452","Psophodes olivaceus"
"453","Phyllastrephus fischeri"
"454","Cissa thalassina"
"455","Bradypterus lopezi"
"456","Accipiter cirrocephalus"
"457","Illadopsis pyrrhoptera"
"458","Frederickena unduligera"
"459","Cisticola aberdare"
"460","Zenaida aurita"
"461","Cettia brunnifrons"
"462","Sitta tephronota"
"463","Megalurus albolimbatus"
"464","Turdus migratorius"
"465","Turdus pelios"
"466","Pipilo albicollis"
"467","Asthenes hudsoni"
"468","Pterodroma macroptera"
"469","Neothraupis fasciata"
"470","Sarkidiornis melanotos"
"471","Luscinia obscura"
"472","Estrilda kandti"
"473","Acridotheres ginginianus"
"474","Sturnus burmannicus"
"475","Accipiter chionogaster"
"476","Sitta neumayer"
"477","Cinnycerthia olivascens"
"478","Tragopan temminckii"
"479","Estrilda caerulescens"
"480","Haplospiza unicolor"
"481","Ammodramus savannarum"
"482","Cettia diphone"
"483","Corvus tasmanicus"
"484","Acanthornis magna"
"485","Padda oryzivora"
"486","Garrulax austeni"
"487","Alopochen aegyptiaca"
"488","Turdus serranus"
"489","Cisticola robustus"
"490","Garrulax formosus"
"491","Tapera naevia"
"492","Accipiter minullus"
"493","Accipiter gentilis"
"494","Scytalopus pachecoi"
"495","Myrmeciza loricata"
"496","Luscinia svecica"
"497","Zoothera peronii"
"498","Estrilda astrild"
"499","Lonchura hunsteini"
"500","Zenaida galapagoensis"
"501","Cinclodes olrogi"
