Phylo,Species,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Accipiter princeps,Accipiter_princeps,Accipitridae,Accipitriformes,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,Forest,1,1,Carnivore,Vertivore,Insessorial,-6.11,-4.23,-5.35,151.04,11549.62,Extant
Accipiter rhodogaster,Accipiter_rhodogaster,Accipitridae,Accipitriformes,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,172.7,Forest,1,1,Carnivore,Vertivore,Insessorial,-5.7,1.76,-1.93,121.39,146036.85,Extant
Accipiter rufitorques,Accipiter_rufitorques,Accipitridae,Accipitriformes,26,15.4,10.3,13.7,59.2,217.6,73.5,142,34.1,146,209,Forest,1,1,Carnivore,Vertivore,Generalist,-19.2,-16.15,-17.45,169.39,17581.12,Extant
Accipiter rufiventris,Accipiter_rufiventris,Accipitridae,Accipitriformes,20.3,10.7,7.8,10,54.2,218.6,83,134.3,38.1,165.8,198,Forest,1,1,Carnivore,Vertivore,Aerial,-34.04,15.67,-7.01,32.6,756057.21,Extant
Accipiter soloensis,Accipiter_soloensis,Accipitridae,Accipitriformes,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.8,Forest,1,3,Carnivore,Vertivore,Insessorial,20.24,47.24,31.97,117.13,2375886.74,Extant
Accipiter striatus,Accipiter_striatus,Accipitridae,Accipitriformes,19.4,10.5,8.7,10.4,49.8,184.2,60,124.2,32.5,144.2,130.6,Forest,1,3,Carnivore,Vertivore,Aerial,NA,NA,NA,NA,NA,Extant
Accipiter superciliosus,Accipiter_superciliosus,Accipitridae,Accipitriformes,19.4,10.8,6.7,10.4,37.4,146.4,38.6,105.2,26.9,104.6,96.4,Forest,1,1,Carnivore,Vertivore,Aerial,-28.11,14.61,-6.22,-60.98,8560355.56,Extant
Accipiter tachiro,Accipiter_tachiro,Accipitridae,Accipitriformes,18,15.3,9.8,12.3,61,222.8,55.6,161.8,25.7,180.3,290.2,Forest,1,1,Carnivore,Vertivore,Aerial,-34.84,4.53,-12.54,29.9,5174215.21,Extant
Accipiter toussenelii,Accipiter_toussenelii,Accipitridae,Accipitriformes,24.4,13.9,9.2,11.9,62.1,189,48.2,149.6,24.4,157.2,249.3,Forest,1,1,Carnivore,Vertivore,Insessorial,-6.06,17.41,3.51,15.99,4598131.33,Extant
Accipiter trinotatus,Accipiter_trinotatus,Accipitridae,Accipitriformes,20.4,13.3,8.6,11.2,48.2,162.9,43,115,27.2,128.8,146,Forest,1,1,Carnivore,Vertivore,Insessorial,-5.66,1.76,-1.81,121.37,120238.86,Extant
Accipiter trivirgatus,Accipiter_trivirgatus,Accipitridae,Accipitriformes,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,Forest,1,1,Carnivore,Vertivore,Insessorial,-8.85,31.08,13.91,101.71,3366430.69,Extant
Accipiter ventralis,Accipiter_ventralis,Accipitridae,Accipitriformes,18.4,9.9,6.5,9.3,50.7,180,52.8,130,28.8,126.4,233,Forest,1,3,Carnivore,Vertivore,Generalist,NA,NA,NA,NA,NA,Extant
Accipiter virgatus,Accipiter_virgatus,Accipitridae,Accipitriformes,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,Forest,1,2,Carnivore,Vertivore,Generalist,-8.98,35.61,22.08,101.25,4398429.71,Extant
Aegypius monachus,Aegypius_monachus,Accipitridae,Accipitriformes,87.8,59.9,27.9,39.8,134.2,734.2,302.2,432,41.1,371,9320.6,Forest,2,1,Scavenger,Scavenger,Terrestrial,25.27,54.37,41.63,87.87,7718571.19,Extant
Aquila adalberti,Aquila_adalberti,Accipitridae,Accipitriformes,61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,Woodland,1,2,Carnivore,Vertivore,Generalist,36.28,41.56,39.06,-5.23,131221.76,Extant
Aquila africanus,Aquila_africanus,Accipitridae,Accipitriformes,39.4,23.4,12.8,20.4,76.6,342.2,93.8,248.4,27.4,277.8,1047,Woodland,1,2,Carnivore,Vertivore,Generalist,-8.47,9.95,1.97,13.68,1918245.9,Extant
Aquila audax,Aquila_audax,Accipitridae,Accipitriformes,60.5,40.9,19.6,31.2,104,617.7,244.5,373.2,39.6,387,3449.9,Woodland,1,2,Carnivore,Vertivore,Generalist,-43.64,-8.78,-25.74,134.48,7679648.03,Extant
Aquila chrysaetos,Aquila_chrysaetos,Accipitridae,Accipitriformes,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,Grassland,3,2,Carnivore,Vertivore,Aerial,6.36,71.12,50.67,38.05,39450257.98,Extant
Aquila clanga,Aquila_clanga,Accipitridae,Accipitriformes,50.2,31.2,15.6,23.2,96.8,510.6,192.2,314.8,37.9,261.4,2154.3,Wetland,3,3,Carnivore,Vertivore,Generalist,38.72,65.94,55.15,73.97,8980278.98,Extant
Aquila fasciatus,Aquila_fasciatus,Accipitridae,Accipitriformes,45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.5,Rock,3,2,Carnivore,Vertivore,Aerial,-10.37,45.24,27.52,62.08,5630034.84,Extant
Aquila gurneyi,Aquila_gurneyi,Accipitridae,Accipitriformes,55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,Forest,1,1,Carnivore,Vertivore,Aerial,-10.73,2.65,-5.05,140.46,601810.35,Extant
Aquila hastata,Aquila_hastata,Accipitridae,Accipitriformes,44.4,26.4,14,18.9,90.2,456.5,191.8,264.8,42,208.5,1359.4,Woodland,2,2,Carnivore,Vertivore,Generalist,8.07,32.46,21.43,81.1,2409106.07,Extant
Aquila heliaca,Aquila_heliaca,Accipitridae,Accipitriformes,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,Woodland,1,3,Carnivore,Vertivore,Generalist,35.35,59.75,49.87,70.89,9556213.62,Extant
Aquila nipalensis,Aquila_nipalensis,Accipitridae,Accipitriformes,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,Grassland,3,3,Carnivore,Vertivore,Aerial,31.2,53.52,43.73,85.14,6933240.92,Extant
Aquila pomarina,Aquila_pomarina,Accipitridae,Accipitriformes,47.3,26.9,13.4,19.5,91.6,459.3,184.8,271,40.6,213,1359.4,Forest,1,3,Carnivore,Vertivore,Generalist,35.81,60.04,49.67,26.85,2013351.79,Extant
Aquila rapax,Aquila_rapax,Accipitridae,Accipitriformes,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,Shrubland,2,3,Carnivore,Vertivore,Generalist,-34.31,36.93,3.92,30.52,17572054.36,Extant
