Phylo,Species,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Ramphocinclus brachyurus,Ramphocinclus_brachyurus,Mimidae,Passeriformes,28.1,17,5.2,5.7,29.6,93.9,14,78.1,15.2,76.5,50,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,13.88,14.77,14.52,-60.9,24.32,Extant
Toxostoma bendirei,Toxostoma_bendirei,Mimidae,Passeriformes,27.1,19.4,6,6.6,33.6,98.6,19.2,78.8,19.6,110.4,62.2,Shrubland,3,1,Omnivore,Omnivore,Generalist,25.45,38.48,33.97,-110.94,822797.04,Extant
Toxostoma cinereum,Toxostoma_cinereum,Mimidae,Passeriformes,30.9,23,6.2,6.8,31,98.2,15.8,82.4,16.2,98,59,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,22.87,31.36,26.95,-112.81,99643.4,Extant
Toxostoma crissale,Toxostoma_crissale,Mimidae,Passeriformes,32.1,22.3,5.7,6.1,29.6,101.2,19.5,81.5,19.3,109.4,62.7,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,19.69,37.27,29.73,-107.36,1010689.86,Extant
Toxostoma curvirostre,Toxostoma_curvirostre,Mimidae,Passeriformes,35.2,23.7,6.1,6.5,32.4,111.6,19.8,92.2,17.7,109.2,80.5,Shrubland,3,1,Omnivore,Invertivore,Terrestrial,16.71,37.97,27.84,-103.65,2044910.56,Extant
Toxostoma guttatum,Toxostoma_guttatum,Mimidae,Passeriformes,30.6,20.2,5.9,5.6,30.4,86.9,10.5,75.9,12.2,102.4,52.8,Forest,2,1,Carnivore,Invertivore,Terrestrial,20.33,20.54,20.48,-86.93,24.89,Extant
Toxostoma lecontei,Toxostoma_lecontei,Mimidae,Passeriformes,37.4,25.9,5.2,5.8,31.1,96,14.7,82.1,15.2,115,61.9,Shrubland,3,2,Carnivore,Invertivore,Terrestrial,25.82,37.7,33.95,-115.13,251262.3,Extant
Toxostoma longirostre,Toxostoma_longirostre,Mimidae,Passeriformes,34.6,22.7,6,6.2,36.3,99.4,8.9,90.4,8.9,121,67.6,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,19.07,29.89,25.82,-99.1,300961.71,Extant
Toxostoma ocellatum,Toxostoma_ocellatum,Mimidae,Passeriformes,37.4,26.8,6.8,7.1,37.3,104,7.8,96.2,7.5,136.4,84.3,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,16.51,21.02,18.92,-98.38,88725.79,Extant
Toxostoma redivivum,Toxostoma_redivivum,Mimidae,Passeriformes,40.2,30.5,6.5,6.9,36.4,102.4,9.8,92.4,9.5,133,84.4,Shrubland,2,1,Omnivore,Invertivore,Generalist,29.42,42,36.46,-120.09,167320.21,Extant
Toxostoma rufum,Toxostoma_rufum,Mimidae,Passeriformes,30.1,19.3,5.4,6.3,34.2,102.5,14,86.7,13.9,121.8,68.8,Shrubland,1,2,Omnivore,Omnivore,Generalist,25.78,54.12,41.75,-92.94,5678627.88,Extant
Arses insularis,Arses_insularis,Monarchidae,Passeriformes,16.8,8.6,5.3,4.1,17.6,78.6,11.6,67,14.7,67.9,19.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.03,-1.52,-3.76,141.57,171996,Extant
Arses kaupi,Arses_kaupi,Monarchidae,Passeriformes,14.5,7,4.4,3.6,19,79.3,15.1,64.5,19,76.4,13.5,Forest,1,1,Carnivore,Invertivore,Insessorial,-19.62,-15.49,-17.72,145.73,27770.73,Extant
Arses telescophthalmus,Arses_telescophthalmus,Monarchidae,Passeriformes,16.3,7.9,5.1,4,18.3,79.3,13.4,66.4,16.8,70.1,15.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.79,0.04,-7.29,141.55,444095.83,Extant
Chasiempis sandwichensis,Chasiempis_sandwichensis,Monarchidae,Passeriformes,16.1,8.5,4.6,3.8,23.7,70.5,12.4,57.9,17.7,61.1,13.7,Forest,1,1,Carnivore,Invertivore,Insessorial,19.02,22.2,19.82,-155.78,6508.89,Extant
Clytorhynchus hamlini,Clytorhynchus_hamlini,Monarchidae,Passeriformes,30.1,20,6.5,6.9,23.3,94.6,15,79.6,16,81.4,34.6,Forest,1,1,Carnivore,Invertivore,Insessorial,-11.88,-11.46,-11.68,160.31,672.67,Extant
Clytorhynchus nigrogularis,Clytorhynchus_nigrogularis,Monarchidae,Passeriformes,27.2,17.1,6.5,8.8,24.3,102.9,17.3,85.6,16.8,86.1,55.7,Forest,1,1,Carnivore,Invertivore,Insessorial,-19.17,-16.15,-17.44,172.01,16947.76,Extant
Clytorhynchus pachycephaloides,Clytorhynchus_pachycephaloides,Monarchidae,Passeriformes,23.4,14.4,5.8,7.3,22.3,89.1,15.5,73.6,17.4,80,26.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-22.47,-13.07,-19.25,166.28,27352.86,Extant
Clytorhynchus sanctaecrucis,Clytorhynchus_sanctaecrucis,Monarchidae,Passeriformes,22.6,14.2,4.7,6.5,23.4,90.5,16.8,73.7,18.6,73.5,55.7,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.89,-10.67,-10.76,165.88,501.67,Extant
Clytorhynchus vitiensis,Clytorhynchus_vitiensis,Monarchidae,Passeriformes,22.9,14.1,5.3,6.1,21.8,88.7,14.8,73.9,16.7,74.6,29.2,Forest,1,1,Carnivore,Invertivore,Insessorial,-20.68,-12.48,-17.42,154.27,18613.59,Extant
Elminia albicauda,Elminia_albicauda,Monarchidae,Passeriformes,9.5,6.4,4.2,2.5,15.4,63,9.9,53.1,15.8,82,8.3,Forest,2,1,Carnivore,Invertivore,Insessorial,-16.4,0.95,-10.04,25.28,1971246.25,Extant
Elminia albiventris,Elminia_albiventris,Monarchidae,Passeriformes,12.6,6.3,3.9,2.5,17.3,61.9,9.8,52.1,15.8,62.4,8.9,Forest,1,1,Carnivore,Invertivore,Insessorial,-4.36,7.6,1.25,22.98,224843.85,Extant
Elminia albonotata,Elminia_albonotata,Monarchidae,Passeriformes,11.1,5.6,3.5,2.3,16.2,61.4,10.4,51,16.9,66.2,9.2,Forest,1,1,Carnivore,Invertivore,Insessorial,-21.74,1.54,-9.34,33.83,905274.18,Extant
Elminia longicauda,Elminia_longicauda,Monarchidae,Passeriformes,14.3,7,4.3,2.4,15.9,66.9,12.1,54.7,18.1,98.6,9.9,Forest,1,1,Carnivore,Invertivore,Insessorial,-11.3,14.02,3.54,13.33,3910894.16,Extant
Elminia nigromitrata,Elminia_nigromitrata,Monarchidae,Passeriformes,11.5,7.8,4,2.8,15.4,60,9.5,50.7,15.8,57.7,9,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.3,9.39,2.16,17.05,2433804.71,Extant
Erythrocercus holochlorus,Erythrocercus_holochlorus,Monarchidae,Passeriformes,9.4,5,3.1,2.6,14.6,48,4.4,43.1,9.2,47,6,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.39,3.26,-3.09,39.97,185127.39,Extant
Erythrocercus livingstonei,Erythrocercus_livingstonei,Monarchidae,Passeriformes,9.5,5.3,3.1,2.7,16.3,48.9,4.7,44.2,9.6,50.2,5.9,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-25.6,-7.05,-15.49,35.24,1133267.59,Extant
Erythrocercus mccallii,Erythrocercus_mccallii,Monarchidae,Passeriformes,10.7,5.8,3.1,2.8,14.7,47.3,4.1,42.9,8.7,47,7.2,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.96,13.12,2.61,11.56,2166425.08,Extant
Eutrichomyias rowleyi,Eutrichomyias_rowleyi,Monarchidae,Passeriformes,16.7,9.1,5.3,5.2,21.6,95.5,18.3,77.2,19.2,91.7,19,Forest,1,1,Carnivore,Invertivore,Insessorial,3.49,3.54,3.52,125.55,14.9,Extant
Grallina bruijni,Grallina_bruijni,Monarchidae,Passeriformes,22.1,12.5,4.4,4.4,26.3,104.2,16.2,87.7,15.6,75.4,38.4,Forest,2,2,Carnivore,Aquatic predator,Terrestrial,-10.48,-0.4,-5.27,141.92,259817.04,Extant
Grallina cyanoleuca,Grallina_cyanoleuca,Monarchidae,Passeriformes,26.2,15.6,5.7,5.5,41.7,172.1,46.3,127.8,26.6,115.5,82.6,Grassland,2,1,Carnivore,Aquatic predator,Terrestrial,-40,-8.33,-25.59,133.55,6745925.59,Extant
Hypothymis azurea,Hypothymis_azurea,Monarchidae,Passeriformes,15.9,8.5,5,4,16.2,72.5,10.4,58.4,15.1,70.9,11.1,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.11,31,15.6,98.97,7227952.51,Extant
Hypothymis coelestis,Hypothymis_coelestis,Monarchidae,Passeriformes,14.8,8.8,5.9,4.2,17.6,71,12.5,58.5,17.7,66.5,13.6,Forest,1,1,Carnivore,Invertivore,Insessorial,5.05,18.65,12.02,123.13,167204.65,Extant
Hypothymis helenae,Hypothymis_helenae,Monarchidae,Passeriformes,12.7,7.2,4.6,3.5,15.7,64.9,11.3,53.6,17.2,62.4,9.9,Forest,1,1,Carnivore,Invertivore,Insessorial,6.28,19,13.55,122.98,123419.68,Extant
Lamprolia victoriae,Lamprolia_victoriae,Monarchidae,Passeriformes,17.3,9.6,3.9,3.8,22.8,81.5,12.3,69.6,15,45.5,14.7,Forest,1,1,Carnivore,Invertivore,Generalist,-17.01,-16.48,-16.77,13.36,657.79,Extant
Mayrornis lessoni,Mayrornis_lessoni,Monarchidae,Passeriformes,14.5,8.1,4,3.8,18.8,68,12.4,55.4,18.4,59.5,11.2,Forest,2,1,Carnivore,Invertivore,Insessorial,-20.68,-15.71,-17.45,163.3,17898.21,Extant
Mayrornis schistaceus,Mayrornis_schistaceus,Monarchidae,Passeriformes,16.9,9.9,4.6,4.3,20.5,69.6,11.9,57.7,17.1,60,11.2,Forest,1,1,Carnivore,Invertivore,Insessorial,-11.73,-11.59,-11.66,166.88,179.32,Extant
Mayrornis versicolor,Mayrornis_versicolor,Monarchidae,Passeriformes,15.1,9.3,4,3.8,19.6,68.2,12,56.2,17.6,59.8,29,Forest,2,1,Carnivore,Invertivore,Insessorial,-19.22,-19.12,-19.17,-178.41,16.45,Extant
Metabolus rugensis,Metabolus_rugensis,Monarchidae,Passeriformes,26.5,16.3,5.7,6.5,26.9,102.5,16.5,85.9,16.1,88.5,23.6,Forest,2,1,Carnivore,Invertivore,Insessorial,7.29,7.46,7.37,151.74,83.99,Extant
Monarcha axillaris,Monarcha_axillaris,Monarchidae,Passeriformes,14.5,7.4,4.9,4.4,19,77.6,12.8,64.7,16.5,70.6,15.6,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.27,-0.39,-5.91,143.63,118942.75,Extant
Monarcha barbatus,Monarcha_barbatus,Monarchidae,Passeriformes,17.1,9.2,5.4,4.6,20.1,83,12.5,70.6,15,77.1,21,Forest,NA,1,Carnivore,Invertivore,Insessorial,-9.95,-4.66,-7.74,158.02,26291.34,Extant
Monarcha boanensis,Monarcha_boanensis,Monarchidae,Passeriformes,18,9.1,5.9,4.5,23.8,81,12,69,14.8,69,17.5,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.02,-2.98,-3,127.9,13.87,Extant
Monarcha brehmii,Monarcha_brehmii,Monarchidae,Passeriformes,17.9,11.5,5.9,4.4,19.5,75,8,67,10.7,66,41,Forest,1,1,Carnivore,Invertivore,Insessorial,-1.22,-0.63,-0.94,135.89,2524.27,Extant
Monarcha browni,Monarcha_browni,Monarchidae,Passeriformes,18.6,10.1,5.9,5.3,21.4,84.3,13.6,70.8,16.1,71.5,16.4,Forest,NA,1,Carnivore,Invertivore,Insessorial,-8.83,-7.57,-8.26,157.39,4635.15,Extant
Monarcha castaneiventris,Monarcha_castaneiventris,Monarchidae,Passeriformes,22.2,11.9,7.1,6,20.5,85.3,14.2,71.6,16.6,73.5,27.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.85,-6.59,-8.92,159.91,21592.19,Extant
Monarcha castus,Monarcha_castus,Monarchidae,Passeriformes,15.7,9.1,3.6,4.5,19.3,66,12,54,18.2,61,14,NA,1,1,Carnivore,Invertivore,Insessorial,-8.35,-7.1,-7.62,131.4,3794.53,Extant
Monarcha chrysomela,Monarcha_chrysomela,Monarchidae,Passeriformes,16.4,9.1,5.1,4.5,17.9,72,11.3,60.8,15.6,55.7,15.6,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.72,0,-5.26,141.05,651592.49,Extant
Monarcha cinerascens,Monarcha_cinerascens,Monarchidae,Passeriformes,20.7,13.4,6.5,5.3,19.1,79.5,15.6,67.9,18.7,69.1,29.6,Forest,2,1,Carnivore,Invertivore,Insessorial,-11.66,4.55,-3.25,126.73,148476.26,Extant
Monarcha erythrostictus,Monarcha_erythrostictus,Monarchidae,Passeriformes,20.2,11.6,6.7,6,20.3,85.2,13.4,71.8,15.7,69.6,27.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.12,-5.01,-6.19,155.28,9648.73,Extant
Monarcha everetti,Monarcha_everetti,Monarchidae,Passeriformes,15.4,8.9,4.7,4,18.6,68.8,9.3,59.5,13.5,73,16.4,Forest,2,1,Carnivore,Invertivore,Insessorial,-7.15,-7.01,-7.09,120.68,170.57,Extant
Monarcha frater,Monarcha_frater,Monarchidae,Passeriformes,19.1,12.6,6.3,5.9,18.7,83.7,14.2,69.3,16.9,66.6,22,Forest,1,2,Carnivore,Invertivore,Insessorial,-15.1,-0.34,-5.5,141.3,226581.08,Extant
Monarcha godeffroyi,Monarcha_godeffroyi,Monarchidae,Passeriformes,20.3,12.4,5.3,4.4,22.3,87,15.2,71.8,17.5,78,16.4,Forest,2,1,Carnivore,Invertivore,Insessorial,9.44,9.64,9.54,138.12,97.97,Extant
Monarcha guttula,Monarcha_guttula,Monarchidae,Passeriformes,16.5,9.6,5.1,4.6,17.6,79,14,65,17.7,71.5,16.4,Forest,1,1,Carnivore,Invertivore,Insessorial,-11.66,0.04,-5.35,140.97,657660.08,Extant
Monarcha infelix,Monarcha_infelix,Monarchidae,Passeriformes,17.5,10.3,5.6,5.1,20.1,82.8,16.6,66.2,20,73.1,16.4,Forest,2,1,Carnivore,Invertivore,Insessorial,-2.44,-1.96,-2.1,146.98,2025.05,Extant
Monarcha julianae,Monarcha_julianae,Monarchidae,Passeriformes,17.1,11.5,5.6,5.1,18.5,82.6,14.5,68.1,17.6,71.7,16.4,Forest,1,1,Carnivore,Invertivore,Insessorial,-1.26,-1.15,-1.2,129.85,143.74,Extant
Monarcha leucotis,Monarcha_leucotis,Monarchidae,Passeriformes,15.3,9,4.4,4.3,18.6,69.2,11.8,57.7,17,63.7,11.4,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-31.15,-11.73,-22.03,148.79,312561.63,Extant
Monarcha leucurus,Monarcha_leucurus,Monarchidae,Passeriformes,17.1,9.9,5.7,4.7,18.2,77.6,14.2,63.4,18.3,71.7,16.4,Forest,2,1,Carnivore,Invertivore,Insessorial,-6,-5.27,-5.66,132.89,1111.79,Extant
Monarcha loricatus,Monarcha_loricatus,Monarchidae,Passeriformes,17.8,10.4,4.9,4.7,20.1,86.6,15,71.5,17.3,79.6,27.3,Forest,2,1,Carnivore,Invertivore,Insessorial,-3.84,-3.05,-3.42,126.61,7963.84,Extant
Monarcha manadensis,Monarcha_manadensis,Monarchidae,Passeriformes,16.6,9.4,5.3,4.5,17.6,84.1,14.5,70,17.1,73.8,22.5,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.73,-0.34,-4.84,140.88,445281.04,Extant
Monarcha melanopsis,Monarcha_melanopsis,Monarchidae,Passeriformes,21.2,12.8,6.8,6.2,19.5,89.2,20.6,70.8,22.6,73.6,22.7,Forest,2,3,Carnivore,Invertivore,Insessorial,-39.14,-11.89,-28.07,149.38,448965.64,Extant
Monarcha menckei,Monarcha_menckei,Monarchidae,Passeriformes,16.3,9.1,5.6,4.2,20,70.3,12.1,58.2,17.2,61.4,16.4,Forest,2,1,Carnivore,Invertivore,Insessorial,-1.54,-1.32,-1.42,149.61,239.41,Extant
Monarcha mundus,Monarcha_mundus,Monarchidae,Passeriformes,19.9,13.6,4.5,5.1,20.9,80.9,14,66.9,17.3,66.2,27.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.35,-7.07,-7.64,131.05,4617.6,Extant
Monarcha pileatus,Monarcha_pileatus,Monarchidae,Passeriformes,16.6,8.7,5.2,4.4,19.7,69.4,11.3,58.1,16.2,68,14,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.8,2.23,0.03,127.72,20864.03,Extant
Monarcha richardsii,Monarcha_richardsii,Monarchidae,Passeriformes,18.9,11,6,5.2,18,76.4,13.2,63.3,17.2,63.2,27.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.83,-7.57,-8.23,157.36,5099.33,Extant
Monarcha rubiensis,Monarcha_rubiensis,Monarchidae,Passeriformes,19.3,10.8,6.3,5.3,19.4,95,15.8,79.2,16.6,81.1,27.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.24,-1.47,-5.19,139.79,243646.73,Extant
Monarcha sacerdotum,Monarcha_sacerdotum,Monarchidae,Passeriformes,15.9,13.6,5.9,4.3,19.6,72,11,61,15.3,70,37,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.83,-8.41,-8.65,119.98,696.22,Extant
Monarcha takatsukasae,Monarcha_takatsukasae,Monarchidae,Passeriformes,18.7,10.6,5.3,4,23.4,67.5,12.8,54.7,18.9,66.7,16.4,Forest,2,1,Carnivore,Invertivore,Insessorial,14.92,15.11,15.02,145.64,106.58,Extant
Monarcha trivirgatus,Monarcha_trivirgatus,Monarchidae,Passeriformes,15.8,9.1,4.9,4.2,18.1,72.6,12.2,60.6,16.7,66,12.7,Forest,1,1,Carnivore,Invertivore,Insessorial,-32.35,2.65,-18.17,143.58,545399.69,Extant
Monarcha verticalis,Monarcha_verticalis,Monarchidae,Passeriformes,17.4,10.7,5.1,5,19.4,85.4,15.8,69.6,18.5,74.3,21.7,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.31,-2.34,-5.13,150.84,42113.45,Extant
Monarcha viduus,Monarcha_viduus,Monarchidae,Passeriformes,16.3,9,5.4,4.2,20.7,75.7,12.6,63.1,16.5,71.1,17.1,Forest,NA,1,Carnivore,Invertivore,Insessorial,-10.85,-10.17,-10.55,161.81,3376.33,Extant
Myiagra albiventris,Myiagra_albiventris,Monarchidae,Passeriformes,17.3,8.7,6.9,3.9,15.8,70.5,12.6,57.9,17.9,60.8,12.3,Forest,2,1,Carnivore,Invertivore,Insessorial,-14.06,-13.43,-13.74,-172.17,2877.26,Extant
Myiagra alecto,Myiagra_alecto,Monarchidae,Passeriformes,19.8,11.8,5.9,4.7,19.3,86.4,13.2,74.3,15,72.4,23.6,Riverine,2,1,Carnivore,Invertivore,Insessorial,-27.67,2.65,-12.02,137.95,1376502.43,Extant
Myiagra atra,Myiagra_atra,Monarchidae,Passeriformes,17,8.5,6.3,4.7,17.7,72.1,11.8,60.3,16.4,56.6,12.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-1.22,-0.63,-0.94,135.89,2530.74,Extant
Myiagra azureocapilla,Myiagra_azureocapilla,Monarchidae,Passeriformes,15.8,8.5,6.3,3.5,20.6,79.8,14.6,65.1,18.3,69.3,12.9,Forest,1,1,Carnivore,Invertivore,Insessorial,-18.27,-16.15,-17.42,171.72,15739.44,Extant
Myiagra caledonica,Myiagra_caledonica,Monarchidae,Passeriformes,19.3,8.5,8,4,17.6,74.3,14.4,59.9,19.3,64.6,10.8,Woodland,2,1,Carnivore,Invertivore,Insessorial,-22.47,-11.46,-19.15,166.35,31488.18,Extant
Myiagra cervinicauda,Myiagra_cervinicauda,Monarchidae,Passeriformes,16.1,8.2,6.3,3.8,16.5,63.8,10.4,53.4,16.3,57.7,11.5,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.85,-10.17,-10.55,161.81,3331.87,Extant
Myiagra cyanoleuca,Myiagra_cyanoleuca,Monarchidae,Passeriformes,18.2,9.6,6.8,4.5,15.9,87.1,19.3,69.3,21.8,75.5,17.5,Shrubland,2,3,Carnivore,Invertivore,Insessorial,-43.57,-10.02,-29.81,147.3,1086652.75,Extant
Myiagra erythrops,Myiagra_erythrops,Monarchidae,Passeriformes,16.6,8.3,6.8,3.5,20.4,67,12,55,17.9,50.8,12.1,Forest,2,1,Carnivore,Invertivore,Insessorial,6.89,8.09,7.45,134.54,456.72,Extant
Myiagra ferrocyanea,Myiagra_ferrocyanea,Monarchidae,Passeriformes,16.3,8.8,5.8,4.1,15.6,69,10.1,59,14.6,61.9,12.8,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.95,-5.01,-7.83,157.94,32643.7,Extant
Myiagra galeata,Myiagra_galeata,Monarchidae,Passeriformes,16.2,8.4,6.2,4,15.4,67.6,11.5,56.1,16.9,54.3,11,Forest,2,1,Carnivore,Invertivore,Insessorial,-3.88,2.64,-1.37,128.18,44624.81,Extant
Myiagra hebetior,Myiagra_hebetior,Monarchidae,Passeriformes,20.5,10.7,6,4.2,21.9,79.3,11.3,67.9,14.2,65.1,20.2,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.31,-1.31,-5.1,150.88,42727.79,Extant
Myiagra inquieta,Myiagra_inquieta,Monarchidae,Passeriformes,20.6,10.3,5.7,4.2,19,92.5,17.1,76.5,18.2,86.9,20.9,Woodland,2,2,Carnivore,Invertivore,Insessorial,-39.95,-7.37,-25.84,139.15,2727582.49,Extant
Myiagra oceanica,Myiagra_oceanica,Monarchidae,Passeriformes,19.9,10.6,7.8,4.7,20.8,80.6,16,64.6,19.8,65.7,12.1,Forest,2,1,Carnivore,Invertivore,Insessorial,5.28,8.99,7.26,151.72,105.86,Extant
Myiagra pluto,Myiagra_pluto,Monarchidae,Passeriformes,17.7,9.5,7.1,4.3,19.9,80.4,15.2,65.2,18.9,72.4,12.1,Forest,2,1,Carnivore,Invertivore,Insessorial,5.78,7.1,6.87,158.24,361.44,Extant
Myiagra rubecula,Myiagra_rubecula,Monarchidae,Passeriformes,15.9,8.1,5.7,3.9,15.3,74.2,14,60,18.9,65.6,12.1,Forest,2,1,Carnivore,Invertivore,Insessorial,-39.48,-6.1,-22.39,142.56,2268381.7,Extant
Myiagra ruficollis,Myiagra_ruficollis,Monarchidae,Passeriformes,17.4,8.7,6.9,4,18.3,71.1,11.4,61.1,15.7,66.1,10.1,Woodland,2,1,Carnivore,Invertivore,Insessorial,-23,-4.27,-12.32,135.22,580888.4,Extant
Myiagra vanikorensis,Myiagra_vanikorensis,Monarchidae,Passeriformes,18,8.7,6.9,4.2,17.7,74.6,14.5,60.1,19.5,59.4,12.3,Forest,2,1,Carnivore,Invertivore,Insessorial,-20.68,-11.59,-17.4,162.07,18452.69,Extant
Neolalage banksiana,Neolalage_banksiana,Monarchidae,Passeriformes,18.5,10.6,4.3,4.4,21.5,75.5,12.4,63,16.5,61.1,16.8,Forest,2,1,Carnivore,Invertivore,Insessorial,-17.83,-13.7,-15.81,167.45,9879.99,Extant
Pomarea dimidiata,Pomarea_dimidiata,Monarchidae,Passeriformes,17.5,10.5,5.2,4.3,23.2,80,13.6,66.4,17,62.3,23,Forest,1,1,Carnivore,Invertivore,Insessorial,-21.25,-19.97,-20.07,-158.22,31.46,Extant
Pomarea iphis,Pomarea_iphis,Monarchidae,Passeriformes,18.5,10.2,5,4.6,26.9,87.2,17.2,70,19.7,75.1,23.9,Forest,2,1,Carnivore,Invertivore,Insessorial,-8.96,-8.87,-8.91,-139.55,81.42,Extant
Pomarea mendozae,Pomarea_mendozae,Monarchidae,Passeriformes,20.1,11.9,5.3,5.2,27.4,93.8,19.7,74,21,73.4,29.6,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.02,-9.95,-9.99,-138.83,13.3,Extant
Pomarea nigra,Pomarea_nigra,Monarchidae,Passeriformes,19.3,10.8,5.8,4.9,27.6,90.1,18.3,71.8,20.3,71.3,25.4,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.7,-17.65,-17.67,-149.55,27.52,Extant
Pomarea whitneyi,Pomarea_whitneyi,Monarchidae,Passeriformes,24.7,14.6,6.4,6.4,32.4,112.1,23.9,88.2,21.3,100.3,42.5,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.52,-10.45,-10.5,-138.66,4.03,Extant
Terpsiphone atrocaudata,Terpsiphone_atrocaudata,Monarchidae,Passeriformes,19.5,10.7,6.8,5.1,15.8,91.6,21.9,69.7,23.9,102.9,18.7,Forest,2,3,Carnivore,Invertivore,Insessorial,19.95,39.22,34.57,132.24,390211.35,Extant
Terpsiphone atrochalybeia,Terpsiphone_atrochalybeia,Monarchidae,Passeriformes,17.7,9.1,6.2,4.2,19.9,80.2,17.7,62.5,22.1,88.5,12.2,Forest,2,1,Carnivore,Invertivore,Insessorial,-0.01,0.42,0.24,6.61,858.51,Extant
Terpsiphone bedfordi,Terpsiphone_bedfordi,Monarchidae,Passeriformes,19.1,10.8,6.2,4.4,16,75.2,11.5,63.7,15.3,83,15.4,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.59,3,0.22,29.43,42552.86,Extant
Terpsiphone bourbonnensis,Terpsiphone_bourbonnensis,Monarchidae,Passeriformes,15.9,8,5.2,4,20.4,70,14,56,20,71,10.8,Forest,2,1,Carnivore,Invertivore,Insessorial,-21.37,-20,-20.94,55.99,3297.84,Extant
Terpsiphone cinnamomea,Terpsiphone_cinnamomea,Monarchidae,Passeriformes,22.5,13.9,7.8,5.4,16.3,88.2,15.2,73.1,17.2,81.5,20.4,Forest,1,1,Carnivore,Invertivore,Insessorial,3.99,18.65,11.89,123.02,253707.56,Extant
Terpsiphone corvina,Terpsiphone_corvina,Monarchidae,Passeriformes,19.8,10.1,6.7,4.2,18.8,88.1,17.2,71,19.5,112.9,18,Forest,2,1,Carnivore,Invertivore,Insessorial,-4.38,-3.8,-4.29,55.83,15.5,Extant
Terpsiphone cyanescens,Terpsiphone_cyanescens,Monarchidae,Passeriformes,23.5,13.9,8.3,6,17.4,90.6,15.7,74.9,17.3,94.1,24.6,Forest,1,1,Carnivore,Invertivore,Insessorial,8.33,12.33,9.94,118.7,8149.54,Extant
Terpsiphone mutata,Terpsiphone_mutata,Monarchidae,Passeriformes,16.6,9,5.9,4.1,15.4,80.4,15.3,65.1,19,89.5,13.2,Forest,2,1,Carnivore,Invertivore,Insessorial,-25.61,-11.36,-19.36,46.69,592893.86,Extant
Terpsiphone paradisi,Terpsiphone_paradisi,Monarchidae,Passeriformes,23.7,14,7.9,5.8,18,92.9,17.9,74.8,19.4,111.2,19.2,Woodland,2,2,Carnivore,Invertivore,Insessorial,-10.32,47.69,24.84,100.13,10758099.62,Extant
Terpsiphone rufiventer,Terpsiphone_rufiventer,Monarchidae,Passeriformes,17.8,10.8,6.2,5,15.9,75.9,12.5,63.2,16.5,83.3,15.1,Forest,1,1,Carnivore,Invertivore,Insessorial,NA,NA,NA,NA,NA,Extant
Terpsiphone rufocinerea,Terpsiphone_rufocinerea,Monarchidae,Passeriformes,18.3,10.3,6.3,4.5,15.6,74.2,11.4,62.8,15.4,81.7,15.4,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-11.39,6.96,-1.27,17.91,2620539.13,Extant
Terpsiphone smithii,Terpsiphone_smithii,Monarchidae,Passeriformes,17.1,9.6,5,4.3,16.4,76.2,12.1,64.1,15.9,84,15.1,Forest,1,1,Carnivore,Invertivore,Insessorial,NA,NA,NA,NA,NA,Extant
