Phylo,Family,Order,Scientific_name,Mass
Circaetus_pectoralis,Accipitridae,Accipitriformes,Circaetus pectoralis,1500
Circus_aeruginosus,Accipitridae,Accipitriformes,Circus aeruginosus,704.1
Circus_approximans,Accipitridae,Accipitriformes,Circus approximans,746.2
Circus_assimilis,Accipitridae,Accipitriformes,Circus assimilis,558.6
Circus_buffoni,Accipitridae,Accipitriformes,Circus buffoni,507.4
Circus_cinereus,Accipitridae,Accipitriformes,Circus cinereus,399.7
Circus_cyaneus,Accipitridae,Accipitriformes,Circus cyaneus,393
Circus_macrosceles,Accipitridae,Accipitriformes,Circus macrosceles,663.6
Circus_macrourus,Accipitridae,Accipitriformes,Circus macrourus,384.4
Circus_maillardi,Accipitridae,Accipitriformes,Circus maillardi,663.6
Circus_maurus,Accipitridae,Accipitriformes,Circus maurus,509
Circus_melanoleucos,Accipitridae,Accipitriformes,Circus melanoleucos,336.3
Circus_pygargus,Accipitridae,Accipitriformes,Circus pygargus,310.8
Circus_ranivorus,Accipitridae,Accipitriformes,Circus ranivorus,507
Circus_spilonotus,Accipitridae,Accipitriformes,Circus spilonotus,558.8
Dryotriorchis_spectabilis,Accipitridae,Accipitriformes,Dryotriorchis spectabilis,697
Elanoides_forficatus,Accipitridae,Accipitriformes,Elanoides forficatus,416.2
Elanus_axillaris,Accipitridae,Accipitriformes,Elanus axillaris,270.1
Elanus_caeruleus,Accipitridae,Accipitriformes,Elanus caeruleus,259.8
Elanus_leucurus,Accipitridae,Accipitriformes,Elanus leucurus,346
Elanus_scriptus,Accipitridae,Accipitriformes,Elanus scriptus,316
Erythrotriorchis_buergersi,Accipitridae,Accipitriformes,Erythrotriorchis buergersi,575
Erythrotriorchis_radiatus,Accipitridae,Accipitriformes,Erythrotriorchis radiatus,887.4
Eutriorchis_astur,Accipitridae,Accipitriformes,Eutriorchis astur,700
Gampsonyx_swainsonii,Accipitridae,Accipitriformes,Gampsonyx swainsonii,92.9
Geranoaetus_melanoleucus,Accipitridae,Accipitriformes,Geranoaetus melanoleucus,2378.6
Geranospiza_caerulescens,Accipitridae,Accipitriformes,Geranospiza caerulescens,302.5
Gypaetus_barbatus,Accipitridae,Accipitriformes,Gypaetus barbatus,5695
Gypohierax_angolensis,Accipitridae,Accipitriformes,Gypohierax angolensis,1600
Gyps_africanus,Accipitridae,Accipitriformes,Gyps africanus,5433
Gyps_bengalensis,Accipitridae,Accipitriformes,Gyps bengalensis,4385
Gyps_coprotheres,Accipitridae,Accipitriformes,Gyps coprotheres,8177
Gyps_fulvus,Accipitridae,Accipitriformes,Gyps fulvus,7436
Gyps_himalayensis,Accipitridae,Accipitriformes,Gyps himalayensis,9798
Gyps_indicus,Accipitridae,Accipitriformes,Gyps indicus,5515
Gyps_rueppellii,Accipitridae,Accipitriformes,Gyps rueppellii,7400
Gyps_tenuirostris,Accipitridae,Accipitriformes,Gyps tenuirostris,5515
Haliaeetus_albicilla,Accipitridae,Accipitriformes,Haliaeetus albicilla,4729.3
Haliaeetus_leucocephalus,Accipitridae,Accipitriformes,Haliaeetus leucocephalus,4700.6
Haliaeetus_leucogaster,Accipitridae,Accipitriformes,Haliaeetus leucogaster,2827
Haliaeetus_leucoryphus,Accipitridae,Accipitriformes,Haliaeetus leucoryphus,2885.9
