species_number,common_name,clade,TreeName_Order,TreeName_Family,TreeName_Genus,TreeName_FINAL,PhyloName,vs_female,vs_male,redpeachpink_facial_skin,genital_notes,red_genitals,red_pelage_head,red_pelage_body_limbs,red_pelage_tail,activity_cycle,social_group_size_orig,social_group_size,multilevel
367,Masoala Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur scottorum,Lepilemur_scottorum_LEPILEMURIDAE_PRIMATES,NA,NA,1,0,0,0,1,0,noct,NA,NA,NA
368,Anjanaharibe-Sud Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur seali,Lepilemur_seali_LEPILEMURIDAE_PRIMATES,NA,NA,1,0,0,0,1,0,noct,NA,NA,NA
369,Sahafary Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur septentrionalis,Lepilemur_septentrionalis_LEPILEMURIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,2,-0.395010853,0
370,Nosy Be Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur tymerlachsoni,Lepilemur_tymerlachsoni_LEPILEMURIDAE_PRIMATES,NA,NA,1,0,0,0,0,1,noct,NA,NA,NA
371,Kalambatritra Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur wrightae,Lepilemur_wrightae_LEPILEMURIDAE_PRIMATES,NA,NA,NA,0,0,NA,NA,NA,noct,NA,NA,NA
372,Golden Angwantibo,Strepsirrhine,Primates,Lorisidae,Arctocebus,Arctocebus aureus,Arctocebus_aureus_LORISIDAE_PRIMATES,NA,NA,0,0,0,1,1,0,noct,1,-0.419591491,0
373,Calabar Angwantibo,Strepsirrhine,Primates,Lorisidae,Arctocebus,Arctocebus calabarensis,Arctocebus_calabarensis_LORISIDAE_PRIMATES,NA,NA,1,0,0,1,1,0,noct,NA,NA,0
374,Grey Slender Loris,Strepsirrhine,Primates,Lorisidae,Loris,Loris lydekkerianus,Loris_lydekkerianus_LORISIDAE_PRIMATES,Dichromatic,Dichromatic,1,0,0,0,0,0,noct,NA,NA,0
375,Red Slender Loris,Strepsirrhine,Primates,Lorisidae,Loris,Loris tardigradus,Loris_tardigradus_LORISIDAE_PRIMATES,Dichromatic,Dichromatic,1,F red swellings,1,0,1,0,noct,NA,NA,0
376,Bengal Slow Loris,Strepsirrhine,Primates,Lorisidae,Nycticebus,Nycticebus bengalensis,Nycticebus_bengalensis_LORISIDAE_PRIMATES,NA,NA,0,0,0,1,1,0,noct,NA,NA,0
377,Sunda Slow Loris,Strepsirrhine,Primates,Lorisidae,Nycticebus,Nycticebus coucang,Nycticebus_coucang_LORISIDAE_PRIMATES,Monochromatic,Monochromatic,1,0,0,1,1,0,noct,NA,NA,0
378,Javan Slow Loris,Strepsirrhine,Primates,Lorisidae,Nycticebus,Nycticebus javanicus,Nycticebus_javanicus_LORISIDAE_PRIMATES,NA,NA,0,0,0,1,0,0,noct,NA,NA,NA
379,Kayan Slow Loris,Strepsirrhine,Primates,Lorisidae,Nycticebus,Nycticebus kayan,Nycticebus_kayan_LORISIDAE_PRIMATES,NA,NA,0,NA,0,1,1,0,noct,NA,NA,NA
380,Philippine Slow Loris,Strepsirrhine,Primates,Lorisidae,Nycticebus,Nycticebus menagensis,Nycticebus_menagensis_LORISIDAE_PRIMATES,NA,NA,1,0,0,1,1,0,noct,2,-0.395010853,NA
381,Pygmy Slow Loris,Strepsirrhine,Primates,Lorisidae,Nycticebus,Nycticebus pygmaeus,Nycticebus_pygmaeus_LORISIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,1,1,0,noct,NA,NA,0
382,West African Potto,Strepsirrhine,Primates,Lorisidae,Perodicticus,Perodicticus potto,Perodicticus_potto_LORISIDAE_PRIMATES,NA,NA,1,0,0,0,1,1,noct,NA,NA,0
383,Ayres Black Uacari,Platyrrhine,Primates,Pitheciidae,Cacajao,Cacajao ayresi,Cacajao_ayresi_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,0,0,NA,NA,NA,NA,67.5,1.215020938,NA
384,Bald-Headed Uacari,Platyrrhine,Primates,Pitheciidae,Cacajao,Cacajao calvus,Cacajao_calvus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,1,0,0,0,1,1,di,35.1,0.418608266,0
385,Black-Headed Uacari,Platyrrhine,Primates,Pitheciidae,Cacajao,Cacajao hosomi,Cacajao_hosomi_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,1,1,di,67.5,1.215020938,NA
386,Golden-Backed Uacari,Platyrrhine,Primates,Pitheciidae,Cacajao,Cacajao melanocephalus,Cacajao_melanocephalus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,pigmented genitalia,1,0,1,1,di,42.8,0.607879178,0
387,Madidi Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus aureipalatii,Callicebus_aureipalatii_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,NA,3,-0.370430215,NA
388,Lake Baptista Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus baptista,Callicebus_baptista_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,0,0,NA,NA,NA,di,NA,NA,0
389,Blond Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus barbarabrownae,Callicebus_barbarabrownae_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,1,di,3,-0.370430215,0
390,Prince Bernhard's Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus bernhardi,Callicebus_bernhardi_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,di,NA,NA,0
391,Brown Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus brunneus,Callicebus_brunneus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,0,0,di,3.4,-0.36059796,0
392,Chestnut-Bellied Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus caligatus,Callicebus_caligatus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,di,NA,NA,0
393,Caqueta Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus caquetensis,Callicebus_caquetensis_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,NA,4.5,-0.333559258,NA
394,Ashy Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus cinerascens,Callicebus_cinerascens_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,4.5,-0.333559258,0
395,Coimbra-Filho's Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus coimbrai,Callicebus_coimbrai_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,1,di,3,-0.370430215,0
396,Coppery Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus cupreus,Callicebus_cupreus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,di,6,-0.296688301,0
397,White-Tailed Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus discolor,Callicebus_discolor_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,di,6,-0.296688301,0
398,White-Eared Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus donacophilus,Callicebus_donacophilus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,0,0,di,NA,NA,0
399,Dubious Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus dubius,Callicebus_dubius_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,di,NA,NA,0
400,Hoffmanns' Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus hoffmannsi,Callicebus_hoffmannsi_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,NA,NA,0
401,Lucifer Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus lucifer,Callicebus_lucifer_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,1,di,3.63,-0.354944413,0
402,Black Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus lugens,Callicebus_lugens_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,3.63,-0.354944413,0
403,Colombian Black-Handed Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus medemi,Callicebus_medemi_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,NA,NA,0
404,Coastal Black-Handed Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus melanochir,Callicebus_melanochir_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,5,-0.321268939,0
405,Milton's Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus miltoni,Callicebus_miltoni_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,NA,0,1,0,1,NA,NA,NA,NA
406,Rio Beni Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus modestus,Callicebus_modestus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,3,-0.370430215,0
407,Red-Bellied Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus moloch,Callicebus_moloch_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,di,3.5,-0.358139896,0
408,Black-Fronted Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,1,di,4,-0.345849577,0
409,Rio Mayo Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus oenanthe,Callicebus_oenanthe_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,0,0,NA,NA,NA,di,5,-0.321268939,0
410,Ollala Brothers' Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus olallae,Callicebus_olallae_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,0,0,di,2,-0.395010853,0
411,Ornate Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus ornatus,Callicebus_ornatus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,di,4,-0.345849577,0
412,White-Coated Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus pallescens,Callicebus_pallescens_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,3.8,-0.350765705,0
413,Atlantic Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus personatus,Callicebus_personatus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,1,di,4.7,-0.32864313,0
414,Rio Purus Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus purinus,Callicebus_purinus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,0,0,NA,NA,NA,di,3.1,-0.367972151,0
415,Red-Headed Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus regulus,Callicebus_regulus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,0,0,NA,NA,NA,di,NA,NA,0
416,Stephen Nash's Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus stephennashi,Callicebus_stephennashi_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,1,di,NA,NA,0
417,Collared Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus torquatus,Callicebus_torquatus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,0,0,NA,NA,NA,di,3.9,-0.348307641,0
418,Urubamba Brown Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus urubambensis,Callicebus_urubambensis_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,NA,0,1,1,0,NA,NA,NA,NA
419,Vieira's Titi,Platyrrhine,Primates,Pitheciidae,Callicebus,Callicebus vieirai,Callicebus_vieirai_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,NA,NA,NA,NA
420,Red-Nosed Saki,Platyrrhine,Primates,Pitheciidae,Chiropotes,Chiropotes albinasus,Chiropotes_albinasus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,1,pink scrotum,0,0,0,0,di,4.2,-0.340933449,0
421,Bearded Saki,Platyrrhine,Primates,Pitheciidae,Chiropotes,Chiropotes chiropotes,Chiropotes_chiropotes_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,pink vulva and scrotum,1,0,0,0,di,NA,NA,0
422,Black Saki,Platyrrhine,Primates,Pitheciidae,Chiropotes,Chiropotes satanas,Chiropotes_satanas_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,pink scrotum,0,0,0,0,di,32,0.342408288,0
423,Uta Hick's Saki,Platyrrhine,Primates,Pitheciidae,Chiropotes,Chiropotes utahickae,Chiropotes_utahickae_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,9.2,-0.218030259,0
424,Equatorial Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia aequatorialis,Pithecia_aequatorialis_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,4,-0.345849577,0
425,Buffy Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia albicans,Pithecia_albicans_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,0,0,NA,NA,NA,di,4.6,-0.331101194,0
426,Cazuza's Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia cazuzai,Pithecia_cazuzai_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
427,Golden-Faced Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia chrysocephala,Pithecia_chrysocephala_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,0,0,di,7,-0.272107663,NA
428,Hairy Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia hirsuta,Pithecia_hirsuta_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,Not in HMOW3,NA,NA,NA,NA,NA,NA,NA,NA
429,Burnished Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia insuta,Pithecia_insuta_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,,0,0,0,0,NA,NA,NA,NA
430,Gray's Bald-Faced Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia irrorata,Pithecia_irrorata_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,3.1,-0.367972151,0
431,Isabel's Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia isabela,Pithecia_isabela_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,,0,0,0,0,NA,NA,NA,NA
432,Miller's Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia milleri,Pithecia_milleri_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,,0,NA,NA,NA,NA,6,-0.296688301,NA
433,Mittermeier's Tapajos Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia mittermeieri,Pithecia_mittermeieri_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,,0,0,0,0,di,NA,NA,NA
434,Monk Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia monachus,Pithecia_monachus_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,1,0,0,0,0,0,di,3.8,-0.350765705,0
435,Napo Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia napensis,Pithecia_napensis_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,,0,0,0,0,NA,NA,NA,NA
436,Pissinatti's Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia pissinattii,Pithecia_pissinattii_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,,0,NA,NA,NA,NA,NA,NA,NA
437,White-Faced Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia pithecia,Pithecia_pithecia_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,1,0,di,4.6,-0.331101194,0
438,Rylands' Bald-Faced Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia rylandsi,Pithecia_rylandsi_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,0,,0,0,0,0,di,NA,NA,NA
439,Vanzolini's Bald-Faced Saki,Platyrrhine,Primates,Pitheciidae,Pithecia,Pithecia vanzolinii,Pithecia_vanzolinii_PITHECIIDAE_PRIMATES,Polymorphic,Dichromatic,NA,,0,NA,NA,NA,di,4,-0.345849577,NA
440,Horsfield's Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius bancanus,Tarsius_bancanus_TARSIIDAE_PRIMATES,Dichromatic,Dichromatic,1,red vulva,1,1,0,0,noct,1,-0.419591491,0
441,Dian's Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius dentatus,Tarsius_dentatus_TARSIIDAE_PRIMATES,NA,NA,1,0,0,0,0,0,noct,4.5,-0.333559258,0
442,Lariang Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius lariang,Tarsius_lariang_TARSIIDAE_PRIMATES,NA,NA,1,,0,0,0,0,noct,3,-0.370430215,NA
443,Peleng Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius pelengensis,Tarsius_pelengensis_TARSIIDAE_PRIMATES,NA,NA,1,0,0,0,0,0,noct,NA,NA,0
444,Pygmy Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius pumilus,Tarsius_pumilus_TARSIIDAE_PRIMATES,NA,NA,1,0,0,0,0,0,noct,NA,NA,0
445,Sangihe Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius sangirensis,Tarsius_sangirensis_TARSIIDAE_PRIMATES,NA,NA,1,0,0,0,0,0,noct,4,-0.345849577,0
446,Philippine Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius syrichta,Tarsius_syrichta_TARSIIDAE_PRIMATES,Dichromatic,Dichromatic,1,0,0,1,0,0,noct,NA,NA,0
447,Spectral Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius tarsier,Tarsius_tarsier_TARSIIDAE_PRIMATES,Dichromatic,Dichromatic,1,0,0,1,0,0,noct,NA,NA,0
448,Siau Island Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius tumpara,Tarsius_tumpara_TARSIIDAE_PRIMATES,NA,NA,0,,0,1,0,0,noct,4,-0.345849577,NA
449,Wallace's Tarsier,Tarsiidae,Primates,Tarsiidae,Tarsius,Tarsius wallacei,Tarsius_wallacei_TARSIIDAE_PRIMATES,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA
