Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Anas_wyvilliana,Anatidae,Anseriformes,Anas wyvilliana,47.2,33.3,15.8,13.6,34,220,101.8,118.2,46.1,69.8,843.4,Riverine,3,1,Omnivore,Omnivore,Generalist,19.57,22.23,20.92,-157.33,4181.09,Extant
Anser_albifrons,Anatidae,Anseriformes,Anser albifrons,48.7,27.6,18.4,17.5,65,408.2,213.8,192.8,52.6,123.5,2506.4,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,57.07,78.34,68.29,12.71,5891602.97,Extant
Anser_anser,Anatidae,Anseriformes,Anser anser,61.2,31.8,22.5,21.6,76.2,435.7,204.7,229.4,47.2,136.1,3302.4,Wetland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,29.68,71.19,51.74,74.51,13285537.12,Extant
Anser_brachyrhynchus,Anatidae,Anseriformes,Anser brachyrhynchus,48.9,26.2,18.7,15.2,74,432.2,210.8,217,49.3,140.6,2642,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,63.65,80.38,71.96,-19.91,190949.74,Extant
Anser_cygnoides,Anatidae,Anseriformes,Anser cygnoides,92.7,42.5,24.2,19.9,76.1,422.2,195,227.2,46.1,122.8,3511.9,Wetland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,44.39,54.42,49.8,112.53,2166055.01,Extant
Anser_erythropus,Anatidae,Anseriformes,Anser erythropus,40.9,21.6,15.5,13.7,61.2,369,195.5,173,53.1,112.4,1755.5,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,62.36,74.37,68.29,95.41,2594919.27,Extant
Anser_fabalis,Anatidae,Anseriformes,Anser fabalis,72.7,40.3,22.1,22.9,77.2,448.6,225.4,223.6,50.2,133.9,2754.7,Wetland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,45.36,77.73,62.77,105.89,13919541.37,Extant
Anser_indicus,Anatidae,Anseriformes,Anser indicus,49.9,25.2,19.8,14,70.8,437.8,215.2,213,50.3,132.6,2212.6,Wetland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,28.63,51.63,41.25,86.98,2371478,Extant
Aythya_affinis,Anatidae,Anseriformes,Aythya affinis,47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.5,Wetland,3,3,Omnivore,Aquatic predator,Aquatic,36.75,69.18,56.73,-119.83,5052907.86,Extant
Aythya_americana,Anatidae,Anseriformes,Aythya americana,49.7,33,18.8,14.6,35.7,218.6,104.6,122.4,46,56,1075.7,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,18.51,67.18,48.31,-111.33,5111761.27,Extant
