"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","Habitat_Category","IsMigrate","cMass"
"247","Seicercus_tephrocephalus","Sylviidae","Passeriformes","Seicercus tephrocephalus",11.7,6.2,3.1,2.7,17.5,54.6,7.7,46.6,14.1,46.4,7.3,"Forest","1","2","Carnivore","Invertivore","Insessorial",20.6,34.55,28.71,103.05,744061.62,"Extant","Forested_Vegetated",0,-0.482939840732068
"248","Seicercus_valentini","Sylviidae","Passeriformes","Seicercus valentini",11.6,6,3.3,2.7,17.4,54.8,8.9,45.9,16.2,46.4,7.3,"Forest","1","3","Carnivore","Invertivore","Insessorial",20.26,35.27,30.45,106.31,386353.34,"Extant","Forested_Vegetated",0,-0.482939840732068
"249","Seicercus_whistleri","Sylviidae","Passeriformes","Seicercus whistleri",11.8,6,2.9,2.4,18.1,56.2,8.3,48.1,14.8,49.6,7.3,"Forest","1","2","Carnivore","Invertivore","Insessorial",20.9,35.24,28.39,88.18,543406.62,"Extant","Forested_Vegetated",0,-0.482939840732068
"250","Sphenoeacus_afer","Sylviidae","Passeriformes","Sphenoeacus afer",17.3,8.9,3.3,4.8,22.5,66.2,5.7,60.6,8.6,98.8,30.4,"Shrubland","3","1","Carnivore","Invertivore","Insessorial",-34.84,-17.41,-28.46,27.83,430218.37,"Extant","Arid_Open",1,0.943628419525762
"251","Sylvia_althaea","Sylviidae","Passeriformes","Sylvia althaea",13.2,6.6,2.9,3.3,19.8,66.7,13.3,52.6,20.2,58,14.9,"Shrubland","2","3","Omnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,"Extant","Arid_Open",0,0.230547024064999
"252","Sylvia_atricapilla","Sylviidae","Passeriformes","Sylvia atricapilla",15.2,7.2,3.2,3.4,20.8,75.9,20.5,55.4,27,62.2,16.7,"Woodland","1","3","Omnivore","Omnivore","Insessorial",14.79,68.26,51.6,26.37,8628077.66,"Extant","Forested_Vegetated",0,0.344594530536296
"253","Sylvia_boehmi","Sylviidae","Passeriformes","Sylvia boehmi",11.9,6.7,3.2,3.5,19.7,64,9.9,53.1,15.7,64.7,14,"Woodland","2","1","Omnivore","Omnivore","Insessorial",-8.99,11.18,0.19,38.45,757783.64,"Extant","Forested_Vegetated",1,0.168243140728844
"254","Sylvia_borin","Sylviidae","Passeriformes","Sylvia borin",15.1,7.2,3.5,3.6,20.1,78.7,23.6,55.2,30,57.9,18.2,"Woodland","1","3","Omnivore","Omnivore","Insessorial",36.37,70.85,54.65,37.01,9648408.47,"Extant","Forested_Vegetated",0,0.430607405196336
"255","Sylvia_buryi","Sylviidae","Passeriformes","Sylvia buryi",18.1,9.9,3.3,3.8,24.5,67,7.4,59,11.2,71.7,22,"Woodland","1","1","Carnivore","Invertivore","Insessorial",13.24,19.58,16.77,43.38,62421.27,"Extant","Forested_Vegetated",1,0.620228264471902
"256","Sylvia_cantillans","Sylviidae","Passeriformes","Sylvia cantillans",11.8,5.9,2.4,2.8,18,60.3,13.2,47.3,21.8,53.5,9.6,"Shrubland","1","3","Omnivore","Invertivore","Insessorial",27.36,46.12,38.51,6.35,1510923.82,"Extant","Arid_Open",0,-0.209051090412623
