"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"31","Buteo_magnirostris","Accipitridae","Accipitriformes","Buteo magnirostris",26.4,17.4,10.4,13.4,61.5,220.9,64.9,164.6,28,159.1,269,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-38.24,25.35,-8.51,-60.46,15043360.16,"Extant"
"32","Nisaetus_cirrhatus","Accipitridae","Accipitriformes","Nisaetus cirrhatus",49.9,25.8,12.6,21.7,97.7,414.6,115.8,298.5,27.9,289.8,1475.1,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-8.85,30.26,13.11,94.36,4408300.11,"Extant"
"33","Aquila_wahlbergi","Accipitridae","Accipitriformes","Aquila wahlbergi",39.3,23.9,12.1,17.4,71.1,413.8,174.8,235.5,42.6,216.8,640,"Shrubland",2,"sedentary","Carnivore","Vertivore","Insessorial",-29.95,18.69,-4.41,23.1,9578321.34,"Extant"
"34","Circus_macrosceles","Accipitridae","Accipitriformes","Circus macrosceles",37.4,20.8,11.6,16.1,92.2,420.9,201.7,220.8,47.8,242.7,663.6,"Grassland",3,"sedentary","Carnivore","Vertivore","Aerial",-24.47,-11.36,-19.14,46.18,412352.02,"Extant"
"35","Spilornis_kinabaluensis","Accipitridae","Accipitriformes","Spilornis kinabaluensis",34.6,24,13.4,16.8,72.6,368.5,107,261.5,29,227.5,597.7,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",2.87,6.49,4.55,115.9,36584.1,"Extant"
"36","Pernis_ptilorhyncus","Accipitridae","Accipitriformes","Pernis ptilorhyncus",55.9,21.4,13.1,15.4,49,413.6,130.7,278.6,32,263.8,1141.1,"Woodland",2,"sedentary","Carnivore","Invertivore","Insessorial",-10.58,56.97,32.05,103.73,11263289.52,"Extant"
"37","Chelictinia_riocourii","Accipitridae","Accipitriformes","Chelictinia riocourii",17.7,11.6,8.6,9.1,28.2,240.2,136.2,108.5,55.7,192,110,"Shrubland",2,"sedentary","Carnivore","Invertivore","Aerial",-0.08,19.65,14.35,10.53,5425285.72,"Extant"
"38","Accipiter_madagascariensis","Accipitridae","Accipitriformes","Accipiter madagascariensis",19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-25.61,-11.95,-19.43,46.69,476517.51,"Extant"
"39","Gyps_bengalensis","Accipitridae","Accipitriformes","Gyps bengalensis",64.6,47.4,22.7,32.5,99.1,551.6,214,337.8,38.8,213.8,4385,"Grassland",3,"sedentary","Scavenger","Scavenger","Terrestrial",11.3,34.17,23.99,83.33,3047965.15,"Extant"
"40","Harpyhaliaetus_solitarius","Accipitridae","Accipitriformes","Harpyhaliaetus solitarius",58.6,36.8,18.7,28,120.4,526.2,150.6,370.9,28.9,245.3,3000,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-23.22,29.01,3.86,-82.33,998204.29,"Extant"
"41","Leucopternis_schistaceus","Accipitridae","Accipitriformes","Leucopternis schistaceus",35.5,22.6,12.6,18.1,75.7,272,70,204.5,25.5,173.2,1000,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-17.91,4.95,-5.46,-66.17,3642728.14,"Extant"
"42","Spizaetus_melanoleucus","Accipitridae","Accipitriformes","Spizaetus melanoleucus",40.9,23.9,12.8,20.7,72.1,400.6,124.3,275.4,31.1,249,850,"Forest",2,"sedentary","Carnivore","Vertivore","Aerial",-31.3,23.78,-6.79,-62.97,8710494.02,"Extant"
"43","Accipiter_rufiventris","Accipitridae","Accipitriformes","Accipiter rufiventris",20.3,10.7,7.8,10,54.2,218.6,83,134.3,38.1,165.8,198,"Forest",1,"sedentary","Carnivore","Vertivore","Aerial",-34.04,15.67,-7.01,32.6,756057.21,"Extant"
"44","Aviceda_subcristata","Accipitridae","Accipitriformes","Aviceda subcristata",28.3,19.7,11.6,14.7,36.3,336.6,134.5,200,40.2,202,322.7,"Forest",2,"sedentary","Carnivore","Omnivore","Insessorial",-34.97,2.65,-12.44,141.78,1718124.83,"Extant"
"45","Accipiter_poliocephalus","Accipitridae","Accipitriformes","Accipiter poliocephalus",25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,214.8,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-11.66,0.04,-5.32,140.74,671500.51,"Extant"
